,Wiki_Page,Wikipedia_Paragraphs
0,<WikipediaPage 'Pomme (chanteuse)'>,"Claire Pommet, dite Pomme, née le 2 août 1996 à Décines-Charpieu (Auvergne-Rhône-Alpes), est une auteure-compositrice-interprète et musicienne française.
Elle sort un premier EP de quatre titres, En cavale, en 2016, puis son premier album, intitulé À peu près, un an après en 2017. 
En 2020, son album Les Failles est désigné album révélation de l'année lors des Victoires de la musique. Elle obtient la Victoire de l'artiste interprète féminine lors de la cérémonie suivante."
1,<WikipediaPage 'Pomme (chanteuse)'>,"


== Biographie ==
Claire Pommet naît à Décines-Charpieu mais grandit à Caluire-et-Cuire, commune française de la métropole de Lyon.   
Elle apprend le solfège à partir de ses 6 ans, rejoint un chœur d'enfants, La Cigale de Lyon, à l'âge de 7 ans et découvre le violoncelle à 8 ans. Sa mère, institutrice et très pieuse, joue de la flûte traversière ; son père, agent immobilier, écoute Michel Polnareff, Serge Reggiani et Charles Aznavour ; et c'est le père d'une amie qui l'initie à la folk (Joan Baez et Joni Mitchell) et la country américaines,. Elle fait son lycée à Lyon à la Cité Scolaire Saint-Exupéry, dans le quartier de la Croix-Rousse.  
Elle fait à cette période ses premières scènes dans des bars lyonnais, et autoproduit un CD alors qu'elle est en seconde. Elle s'initie à la composition de façon autodidacte et publie des vidéos sur la plateforme web YouTube."
2,<WikipediaPage 'Pomme (chanteuse)'>,"

En 2013, à 17 ans, elle enregistre la chanson Okay en duo avec le chanteur Matthieu Mendès et tourne son premier clip. À 19 ans, Pomme s'installe à Paris afin de continuer ses études en faculté d'anglais mais abandonne pour se consacrer à la musique. En 2016, elle sort un EP intitulé En cavale qui lui permet notamment de se produire en première partie de Benjamin Biolay.
En septembre 2017, à l'âge de 21 ans, elle se produit pour la première fois à quatre reprises à La Boule noire à Paris. En octobre sort son premier album de chanson française, intitulé À peu près ; entre pop et folk selon Salomé Rouzerol-Douglas du Figaro, il est « très encourageant », estime Gilles Renault de Libération tandis que Marie-Catherine Mardi de RFI estime que « les textes ne convainqu[ent] pas dans leur intégralité » mais fait l'éloge du chant,,,. Les journalistes de Libération et du Figaro soulignent la qualité de ses interprétations live, durant lesquelles elle joue notamment de l'autoharpe et de la guitare.
Pomme effectue la première partie de la tournée d'Asaf Avidan à l'automne 2017. Elle fait notamment sa première partie sur la grande scène de l'Olympia. En février 2018, elle se produit au Café de la Danse à Paris, après avoir participé aux premières parties de Louane et Vianney, puis monte sur scène à La Cigale mi-2018 et au Trianon début 2019.
Les chansons qu'elle écrit et compose — soit la moitié du répertoire qu'elle interprète — évoquent souvent l'amour, la mort et « des situations quotidiennes qu'elle tourne au romantisme » (Le Figaro),. L'amour, dans ses textes, n'est pas qu'hétérosexuel, mais aussi lesbien ; elle consacre notamment une chanson à l'interprète québécoise Safia Nolin dont elle est l’ex-compagne. Elle explique à Télérama : « J’assume très naturellement mon homosexualité, par exemple en utilisant dans mes chansons des pronoms féminins. Et je crois que c’est important vu le nombre de messages de remerciement que je reçois. Ado, j’aurais aimé, moi aussi, pouvoir me reconnaître dans des chanteuses lesbiennes. »
En novembre 2019, Pomme sort son deuxième album Les Failles, dont elle signe toutes les chansons, et coréalisé avec Albin de la Simone. L'album est certifié disque d'or le 18 septembre 2020. En 2020, cet album est réédité sous le nom de Les Failles cachées, et comporte quatre chansons supplémentaires par rapport à la première version. La même année, une troisième version voit le jour : Les failles cachées (Halloween version), où trois titres viennent s'ajouter au reste de l'album, dont un featuring avec Flavien Berger."
3,<WikipediaPage 'Pomme (chanteuse)'>,"

En décembre 2019, la chanteuse Angèle donne un concert à Montréal. Elle invite Pomme et aussi Safia Nolin à monter sur scène. Les trois jeunes femmes y interprètent On brûlera, qui dénonce le regard de la société vis-à-vis de l'homosexualité.
En 2020, Pomme remporte les Victoires de la musique 2020 dans la catégorie album révélation. Le 20 avril, elle sort un EP éphémère de cinq titres en anglais intitulé Quarantine Phone Session, qu'elle prévoit initialement de rendre disponible uniquement pendant la durée du confinement.
Pour les élections municipales 2020, elle publie une vidéo de soutien à la liste Europe Écologie Les Verts de sa commune de naissance, Caluire-et-Cuire.
En février 2021, à la suite du mouvement #musictoo (dénonciation des violences sexistes dans le monde de la musique), elle publie un billet sur le blog de Mediapart intitulé « De là où je suis, j’ai décidé de dire les choses ». Elle affirme avoir été « manipulée, harcelée moralement et sexuellement » de ses 15 à ses 17 ans.
En 2021, Pomme est sacrée artiste féminine de l'année aux Victoires de la musique."
4,<WikipediaPage 'Pomme (chanteuse)'>,"


=== Collaborations ===
2013 : Matthieu Mendès featuring Pomme - Okay
2016 : Cécile Corbel featuring Pomme - Entre ses bras
2016 : Hein Cooper (feat. Pomme) - Rusty
2018 : Ben Mazué featuring Pomme - J'attends
2018 : 39 Femmes featuring Pomme - Debout les femmes
2019 : TRENTE featuring Pomme & Safia Nolin - Sélection 46
2019 : Waxx featuring Pomme - Ghost
2019 : Safia Nolin featuring Pomme - Je serai (ta meilleure amie)
2020 : Philémon Cimon featuring Pomme - La violence
2020 : Raphaël featuring Pomme - Le train du soir
2021 : Refuge featuring Pomme - 2K16
2021 : Terrenoire featuring Pomme - Ça va aller
2021 : H-Burns, Pomme - Suzanne
2021 : Oklou, Pomme, Danny L Harle - Galore - french version
2022 : AURORA featuring Pomme - Everything Matters"
5,<WikipediaPage 'Pomme de terre'>,"La Pomme de terre ou patate (langage familier, canadianisme et belgicisme) est un tubercule comestible produit par l’espèce Solanum tuberosum, appartenant à la famille des solanacées. Le terme désigne également la plante elle-même, plante herbacée, vivace par ses tubercules mais toujours cultivée comme une culture annuelle. La pomme de terre est une plante qui réussit dans la plupart des sols, mais elle préfère les sols légers et légèrement acides. La plante est sujette aux maladies dans des sols calcaires ou manquant d’humus.
La pomme de terre est originaire de la cordillère des Andes (Pérou), dans le Sud-Ouest de l’Amérique du Sud où son utilisation remonte à environ 8 000 ans. Introduite en Europe vers la fin du XVIe siècle à la suite de la découverte de l’Amérique par les conquistadors espagnols, elle s’est rapidement diffusée dans le monde et est en 2015 cultivée dans plus de 150 pays sous pratiquement toutes les latitudes habitées.
Elle est une source importante de glucides, qui se présentent principalement sous forme de fécule, et selon son mode de cuisson elle peut apporter des quantités notables de protéines et de vitamines. Ses qualités nutritives et sa facilité de culture font qu’elle est devenue l’un des aliments de base de l’humanité : elle figure parmi les légumes et féculents les plus consommés et est la principale denrée alimentaire non céréalière du monde. Cultivée et consommée localement, relativement peu commercialisée sur le marché mondial sous sa forme crue, elle est recommandée par l’ONU pour atteindre la sécurité alimentaire.
C’est aussi la culture alimentaire la plus productive, produisant plus de matière sèche à l’hectare que les céréales ; 85 % de la matière sèche produite par la plante est comestible pour l’homme contre environ 50 % pour les céréales.
Le rendement moyen est d’environ 17 tonnes à l’hectare au niveau mondial, mais se situe entre quarante et cinquante tonnes dans certains pays développés d’Amérique du Nord et d’Europe occidentale. La pomme de terre reste sous-utilisée dans certains pays du Tiers Monde, notamment en Afrique subsaharienne, mais globalement sa consommation progresse dans les pays en développement, tandis que dans les pays développés elle tend à diminuer et à basculer de plus en plus vers des formes transformées (produits appertisés, déshydratés ou surgelés).
La fécule de pomme de terre a donné naissance à une industrie de transformation, la féculerie, aux multiples débouchés dans les secteurs agro-alimentaire, cosmétique, pharmaceutique et industriel.
Compte tenu de son importance économique, de nombreuses études scientifiques sur la pomme de terre et les espèces apparentées, notamment dans le domaine de la génétique, sont menées par des institutions publiques ou privées de différents pays, coordonnées au niveau mondial, entre autres, par le Centre international de la pomme de terre."
6,<WikipediaPage 'Pomme de terre'>,"


=== Description morphologique ===
La pomme de terre est une plante herbacée, tubéreuse à feuilles caduques (elle perd ses feuilles et ses tiges aériennes dans la saison froide), à port dressé, qui peut atteindre 1 m de hauteur, plus ou moins étalé avec l’âge. C’est une vivace grâce à ses tubercules, à condition que le climat leur permette de survivre à la saison froide ; mais elle est cultivée comme une plante annuelle.
Du point de vue botanique elle n’est pas un légume racine mais un légume tige : les tubercules sont des tiges souterraines transformées."
7,<WikipediaPage 'Pomme de terre'>,"


===== Système racinaire =====
Le système racinaire est fasciculé et très ramifié ; il a tendance à s’étendre superficiellement mais peut s’enfoncer jusqu’à 0,8 m de profondeur. Il est constitué de racines adventives qui apparaissent à la base des bourgeons du tubercule ou sur les nœuds des tiges enterrées ; pour cette raison, le tubercule doit être planté à une profondeur telle qu’elle permette une formation adéquate des racines et des rhizomes.
Les racines connaissent une croissance rapide depuis les premiers stades de développement jusqu’au moment où commence la formation des tubercules."
8,<WikipediaPage 'Pomme de terre'>,"

Les feuilles, caduques, alternes, font de 10 à 20 cm de long. Elles sont insérées sur la tige selon une phyllotaxie spiralée, de rapport 5/13,. Elles sont composées imparipennées et comptent 7 à 9 folioles de forme lancéolée et de tailles variées, de toutes petites folioles s’intercalant par paires entre les plus grandes. Les feuilles basales peuvent parfois être entières.
L’épiderme est composé de cellules aux parois sinueuses en vue superficielle[Quoi ?]. Il présente des poils ou trichomes à sa surface, en quantités variables selon les cultivars. Les trichomes peuvent être unisériés, glandulaires et à tête pluricellulaire plus ou moins sphérique."
9,<WikipediaPage 'Pomme de terre'>,"

La pomme de terre présente deux types de tiges : des tiges aériennes, à section circulaire ou angulaire, sur lesquelles sont disposées les feuilles ; et des tiges souterraines, les rhizomes, sur lesquelles apparaissent les tubercules.
Les tiges aériennes naissent à partir de bourgeons présents sur le tubercule utilisé comme semence. Elles sont herbacées, succulentes (c'est-à-dire charnues) et peuvent atteindre de 0,6 à 1,0 m de long. Normalement de couleur verte, elles peuvent exceptionnellement présenter une coloration rouge violet. Elles peuvent être érigées ou décombantes, s’inclinant progressivement vers le sol à mesure qu’avance la maturité de la plante. Les entrenœuds sont allongés chez la sous-espèce andigena et bien plus courts chez la sous-espèce tuberosum. Dans la phase finale de leur développement, les tiges aériennes peuvent devenir relativement ligneuses à la base."
